source,reference,direct_translation,noisy_channel_translation,direct_bleu,noisy_bleu,abs_diff
There are a lot of patients.,वहां पर बहुत से रोगी होते हैं।,मरीज़ बहुत से हैं.,एच. ओ.,14.320952289897704,0.0,14.320952289897704
"In neighboring France, gender issues are still controversial, according to a news report on France 24.","फ्रांस 24 पर समाचार रिपोर्ट के अनुसार, पड़ोसी देश फ्रांस में लिंग से जुड़े मुद्दे अभी भी विवादास्पद हैं।","पड़ोसी फ्रांस में, फ्रांस पर एक समाचार रिपोर्ट के अनुसार, लिंग के विषय अब भी विवादपूर्ण हैं ।","पड़ोसी फ्रांस में, फ्रांस में समाचार - पत्र के अनुसार, लिंग के विषय अब भी विवादपूर्ण हैं ।",23.5884481065342,10.65728448555558,12.931163620978621
The appeals court heard arguments Tuesday on the requested stay.,अपील अदालत ने अनुरोध प्रवास पर मंगलवार को दलीलें सुनी.,अनुरोध पर अपील कोर्ट ने मंगलवार तर्क सुना.,आकर्षक अदालत ने अनुरोध पर मंगलवार तर्क सुना.,5.974994192843766,18.70274255449444,12.727748361650672
His family had accused his friends because his mobile and other luggage was missing.,उसके परिजनों ने उसके दोस्तों पर उसकी हत्या का आरोप लगाया था क्योंकि उसका मोबाईल व अन्य सामान लापता था।,उसके परिवार ने अपने दोस्तों पर आरोप लगाया था क्योंकि उसका मोबाइल और दूसरा सामान गायब था ।,उसके परिवार ने अपने दोस्तों पर आरोप लगाया था कि उसका मोबाइल और दूसरा सामान गायब है ।,22.622583725445715,10.419462900243012,12.203120825202703
"Manmohan Singh is the Prime Minister and it is his government, yet they want Modi to respond.","मनमोहन सिंह प्रधानमंत्री हैं और उनकी सरकार है, फिर भी उन्हें मोदी से जवाब चाहिए।","मैमोमा सिंह प्रधानमंत्री है और यह उसकी सरकार है, फिर भी वे प्रतिक्रिया दिखाने के लिए मोदी चाहते हैं.","मैमोमा सिंह प्रधानमंत्री है और यह उसकी सरकार है, लेकिन वे प्रतिक्रिया दिखाने के लिए मोदी चाहते हैं.",21.37772394158387,10.079037376973911,11.298686564609959
"German MP Hans-Christian Ströbele on Thursday met Mr Snowden in Russia, where he has been granted asylum, to discuss him testifying in Germany.","जर्मन एम.पी. हंस क्रिश्चियन स्ट्रॉ बेले, ने रूस में श्री स्नो डेन सेगुरुवार को  मुलाकात की, जहां  उसे जर्मनी में गवाही के बारे में बात करने के लिए, शरण दे दी गई है.","जर्मन एमपीUN-SUlare गुरुवार पर श्री स्नोden मिले, जहां उसे जर्मनी में गवाही देने के लिए शरण दी गई है.","जर्मन MPUNUN-SUlare गुरुवार पर श्री स्नोडन से मिले, जहाँ उसे शरण दी गई है, ताकि जर्मनी में गवाही दे सके.",15.681380785387876,6.08410619319827,9.597274592189606
"He gives his life to this organization, and his desire to help the Cameroon people is everlasting.","वे इस संगठन के लिए अपना जीवन देते हैं, तथा कैमरून के लोगों की सहायता करने की उनकी इच्छा कभी समाप्त नहीं होने वाली है।","वह इस संगठन को अपना जीवन देता है, और कैमरून के लोगों की मदद करने की उसकी इच्छा अनन्त है ।",वह कैमरून के लोगों की मदद करना चाहता है ।,14.10982401057591,5.303639607699455,8.806184402876454
Planes modified for Wi-Fi systems are also more resistant to interference.,वाई-फाई सिस्टम के लिए संशोधित किए गए विमान भी व्यवधान के प्रति अधिक प्रतिरोधी हैं।,V-Fi तंत्रों के लिए संशोधित भी हस्तक्षेप करने के लिए अधिक विरोध कर रहे हैं।,V-Fi सिस्टम के लिए संशोधित भी हस्तक्षेप के लिए अधिक विरोध कर रहे हैं.,12.090340630072072,18.92240568795936,6.832065057887286
Gender nonconforming boys now have special camp.,अब गैर-अनुरूप लिंग वाले लड़कों के लिए विशेष शिविर होते हैं।,अब लड़कों के पास विशेष शिविर है.,अब लड़कों को विशेष कैम्प है.,11.35114710927891,4.880869806051147,6.470277303227763
"But depressed and knowing something was wrong, he demanded medical records.","लेकिन अवसादग्रस्त तथा कुछ गड़बड़ महसूस करते हुए, उसने चिकित्सकीय अभिलेखों की मांग की।","लेकिन हताश और किसी बात को जानते हुए, उसने चिकित्सीय अभिलेखों की माँग की ।","लेकिन हताश और कुछ गलत बात जानने के बाद, उसने चिकित्सीय रिकॉर्ड माँग की ।",11.980914528565991,6.150343144231885,5.830571384334106
Frontier Airlines plans to charge up to $100 for passengers to store carry-on luggage on board their flight.,Frontier एयरलाइंस में अपने विमान बोर्ड पर यात्रियों के लिए सामान कैरी - ऑन स्टोर करने के लिए $ 100 चार्ज करने की योजना है.,Carglance विमानों के लिए $ 100 करने की योजना उनके उड़ान पर सामान जमा करने के लिए।,यात्रियों के लिए 100 डॉलर लेने की योजना... उनके उड़ान में सामान लेने के लिए.,14.290539997302986,8.579336211297584,5.711203786005402
"Ulrich Hackenberg, board member at carmaker Audi, says it has been standard practice for years for mobile phones to be collected before board meetings so they cannot be used as remote listening devices.","Ulrich Hackenberg, कार निर्माता ऑडी, के बोर्ड के सदस्य कहते हैं,की यह एक सालो पुरानी प्रणाली है है  बोर्ड की बैठकों से पहले मोबाइल फोन एकत्र करने की क्योकि उनका उपयोग दूरस्थ सुन उपकरणों के रूप में ना हो सके",वह कहती है कि बरसों से मोबाइल फोन को बोर्ड से पहले सभाओं में इकट्ठा होने के लिए इस्तेमाल किया जा सकता है ताकि वे दूर से सुननेवाले उपकरणों के रूप में इस्तेमाल नहीं कर सकें ।,वह कहती है कि कई सालों से मोबाइल फोन की सभाओं में हाज़िर होने के लिए मोबाइल फोन का इस्तेमाल किया जा सकता है ताकि वे दूर से सुन सकें ।,7.7200247747260144,2.29696772946306,5.423057045262954
Illinois is trying it on a limited basis with trucks.,इलिनोइस सीमित आधार पर ट्रकों के साथ आज़माइश कर रहा है।,यह ट्रकों के साथ एक सीमित आधार पर कोशिश कर रहा है.,यह ट्रकों से एक सीमित आधार पर कोशिश कर रहा है.,21.97281387499715,16.59038701421971,5.382426860777439
"The third son of Hirachand Govaradhandas Ambani, who worked as a teacher in a school in Coravada, a small village in Gujarat, Dhirubhai Ambani was born on December 28th, 1932.",गुजरात के एक छोटे से गांव चोरवाड के एक स्कूल में शिक्षक के पद पर पदस्थ हीराचंद गोवरधनदास अंबानी के तीसरे बेटे धीरूभाई अंबानी का जन्म 28 दिसंबर 1932 को हुआ।,"आम तौर पर, यह एक छोटा - सा गाँव था, जो 28 दिसंबर, 1932 की बात है ।","आम तौर पर, वहाँ के लोगों का जन्म 28 दिसंबर, 1932 को हुआ ।",2.8369015140472493,7.661666771119942,4.824765257072693
So the city councillors have become dummies and officers are doing as they pleased.,इसके चलते शहर के पार्षद एक डम्मी बन गए है और अधिकारी अपने हिसाब से ही काम कर रहे है।,इसलिए शहर के परिषद्‌ और अधिकारियों की इच्छा के अनुसार काम कर रहे हैं।,इसलिए शहर के परिषद्‌ और अफसर अपनी इच्छा के मुताबिक काम करते हैं ।,9.063023185560713,4.40002318338242,4.6630000021782925
"The municipal corporation officers have been talking about shifting the dump to the village of Jhuriwala for the past several years now, but the inhabitants of the Barwala area are already facing a serious problem with flies.","नगर निगम के अधिकारी पिछले कई वर्षाें से गाव झूरीवाला में डपिंग ग्राउंड को शिफ्ट करने की बात कर रहे हैं, लेकिन बरवाला क्षेत्र के लोग तो पहले ही मक्खियों की गंभीर समस्या से दो-चार हो रहे है।",इस इलाके के निवासी पहले से ही मक्खियों के साथ गंभीर समस्या का सामना कर रहे हैं ।,इस इलाके के निवासी पहले से ही मक्खियों की गंभीर समस्या का सामना कर रहे हैं ।,4.096807968985152,8.500280905044189,4.403472936059037
"Clearly, Modi was referring to Sibal, who had told journalists in Delhi that Modi wants to create an environment where he is in control, where he gives his speeches and he does not talk to journalists in order to avoid their questions.","स्पष्ट रूप से मोदी, सिब्बल को जवाब दे रहे थे जिन्होंने दिल्ली में संवाददाताओं से कहा कि मोदी अपने नियंत्रण वाला माहौल चाहते हैं जहां वह अपना भाषण देते हैं और पत्रकारों से सवालों से बचने के लिए उनसे बात नहीं करते।","इससे साफ पता चलता है कि मोदी ने दिल्ली के पत्रकारों से कहा था कि मोडी एक ऐसा वातावरण बनाना चाहता है जहाँ वह नियंत्रण में रहता है, जहाँ वह अपने भाषण देता है और पत्रकारों से उनके प्रश्‍नों से बचने के लिए बात नहीं करता ।",इससे साफ पता चलता है कि मोदी ने दिल्ली के पत्रकारों से कहा था कि मोडी एक ऐसा वातावरण बनाना चाहता है जहाँ वह अपने भाषण देता है और पत्रकारों से बात नहीं करता ।,10.06892136454607,5.780254773632967,4.2886665909131025
