source,reference,direct_translation,noisy_channel_translation,direct_bleu,noisy_bleu,winner
"Ulrich Hackenberg, board member at carmaker Audi, says it has been standard practice for years for mobile phones to be collected before board meetings so they cannot be used as remote listening devices.","Ulrich Hackenberg, कार निर्माता ऑडी, के बोर्ड के सदस्य कहते हैं,की यह एक सालो पुरानी प्रणाली है है  बोर्ड की बैठकों से पहले मोबाइल फोन एकत्र करने की क्योकि उनका उपयोग दूरस्थ सुन उपकरणों के रूप में ना हो सके",वह कहती है कि बरसों से मोबाइल फोन को बोर्ड से पहले सभाओं में इकट्ठा होने के लिए इस्तेमाल किया जा सकता है ताकि वे दूर से सुननेवाले उपकरणों के रूप में इस्तेमाल नहीं कर सकें ।,वह कहती है कि कई सालों से मोबाइल फोन की सभाओं में हाज़िर होने के लिए मोबाइल फोन का इस्तेमाल किया जा सकता है ताकि वे दूर से सुन सकें ।,7.7200247747260144,2.29696772946306,Direct
"He said there are a total of 42,000 members in the income tax department.",उन्होंने कहा कि आयकर महकमा के कुल 42 हजार सदस्य हैं।,"उन्होंने कहा कि आमदनी के कर विभाग में कुल मिलाकर ४,००० सदस्य हैं ।","उसने कहा कि आमदनी के कर विभाग में कुल ४,००० सदस्य हैं ।",10.82597837309053,6.608973813188645,Direct
So the city councillors have become dummies and officers are doing as they pleased.,इसके चलते शहर के पार्षद एक डम्मी बन गए है और अधिकारी अपने हिसाब से ही काम कर रहे है।,इसलिए शहर के परिषद्‌ और अधिकारियों की इच्छा के अनुसार काम कर रहे हैं।,इसलिए शहर के परिषद्‌ और अफसर अपनी इच्छा के मुताबिक काम करते हैं ।,9.063023185560711,4.40002318338242,Direct
"In neighboring France, gender issues are still controversial, according to a news report on France 24.","फ्रांस 24 पर समाचार रिपोर्ट के अनुसार, पड़ोसी देश फ्रांस में लिंग से जुड़े मुद्दे अभी भी विवादास्पद हैं।","पड़ोसी फ्रांस में, फ्रांस पर एक समाचार रिपोर्ट के अनुसार, लिंग के विषय अब भी विवादपूर्ण हैं ।","पड़ोसी फ्रांस में, फ्रांस में समाचार - पत्र के अनुसार, लिंग के विषय अब भी विवादपूर्ण हैं ।",23.5884481065342,10.657284485555579,Direct
There are a lot of patients.,वहां पर बहुत से रोगी होते हैं।,मरीज़ बहुत से हैं.,एच. ओ.,14.320952289897704,0.0,Direct
"Manmohan Singh is the Prime Minister and it is his government, yet they want Modi to respond.","मनमोहन सिंह प्रधानमंत्री हैं और उनकी सरकार है, फिर भी उन्हें मोदी से जवाब चाहिए।","मैमोमा सिंह प्रधानमंत्री है और यह उसकी सरकार है, फिर भी वे प्रतिक्रिया दिखाने के लिए मोदी चाहते हैं.","मैमोमा सिंह प्रधानमंत्री है और यह उसकी सरकार है, लेकिन वे प्रतिक्रिया दिखाने के लिए मोदी चाहते हैं.",21.37772394158387,10.079037376973913,Direct
"NSA Blames ""Internal Error,"" Not Hackers, For Website Crash","एन.एस.ए. ने वेबसाइट क्रैश होने के लिए हैकर्स के बजाय ""आंतरिक त्रुटि"" पर आरोप लगाया","एनएसएसएएसआईआईआईएस"" त्रुटि"" नहीं है, वेबसाइटों के लिए","एनएसएएसआईएसआईआईएस"" त्रुटि",3.779779722831548,0.06157407089245349,Direct
"It may be recalled that in the year 2002 Ghulam Hasan Khan, who won the 2002 elections from Shopian on a PDP ticket, was included in the cabinet, while Mufti Mohamed Sayeed was a Chief Minister.",विदित हो कि शोपियां से वर्ष पीडीपी के टिकट पर वर्ष 2002 में चुनाव जीतने वाले गुलाम हसन खान मुफ्ती मुहम्मद सईद मुख्यमंत्री रहते हुए उनके मंत्रिमंडल में शामिल थे।,"यह याद किया जा सकता है कि सन्‌ 2002 में गाब्रम खान ने, जो सन्‌ 2002 में पावेलियन टिकट के पास के चुनावों को जीत लिया था, उस वक्‍त आम जनता ने दावा किया कि वह एक प्रधान मंत्री था ।","यह याद किया जा सकता है कि सन्‌ 2002 में गाब्रम खान ने, जो सन्‌ 2002 में पावेलियन टिकट के पास के चुनावों को जीत लिया था, उस वक्‍त को पादरी के पद पर रखा गया था ।",2.331372206682652,2.5984987978515033,Noisy Channel
"In most cases, the process will slow down or stall -- something a pediatrician can monitor closely.",अधिकांश मामलों में यह प्रक्रिया धीमी हो जाएगी अथवा रुक जाएगी - जिसका बाल चिकित्सक नज़दीक से निरीक्षण कर सकते हैं।,"अधिकांश मामलों में, प्रक्रिया धीमा या कने में धीमी पड़ जाएगी - कुछ वस्तु ध्यानपूर्वक देख सकता है.","अधिकांश मामलों में, प्रक्रिया धीमा या कने में धीमी पड़ जाएगी - कुछ वस्तु ध्यान से देख सकता है.",9.272702895917078,9.560408787521254,Noisy Channel
"""There is no need for radical surgery when all you need to do is take an aspirin,"" said Randy Rentschler, the commission\'s director of legislation and public affairs.","आयोग के विधान और सार्वजनिक मामलों के निदेशक, रैन्डी रेंटशेलर ने कहा, ""जब एस्पिरिन से काम हो सकता है तो उसके लिए आमूलचूल सर्जरी की क्या जरूरत है।""","""इसके लिए कोई ज़रूरत नहीं है जब तुम सब करने की जरूरत है एक ऐथेंस ले रहा है,"" रैंडी रेफ़ी ने कहा,\ कानून और सार्वजनिक मामलों के निर्देशक।","""इसके लिए कोई ज़रूरत नहीं है जब तुम सब करने की जरूरत है एक ऐथेंस ले रही है,"" रैंडी रेफ़ी ने कहा,\ कानून और सार्वजनिक मामलों के निर्देशक.",12.876689524369926,12.480006420394119,Direct
Mick Jagger says he never hit on Katy Perry when she was 18.,"मिक जैगर का कहना है कि जब कैटी पेरी 18 वर्ष की थीं, तो उन्होंने उस पर प्रहार नहीं किया",Mick Jagger कहते हैं कि जब वह 18 साल की थी वह काटी पेरी पर कभी नहीं मारा.,Mick Jagger कहते हैं कि जब वह 18 साल की थी वह क्यक पेरी पर कभी नहीं मारा.,4.9846888244961605,4.9846888244961605,Tie
"1 deadline set by The Hague-based organization for Damascus to destroy or ""render inoperable"" all chemical weapon production facilities and machinery for mixing chemicals into poison gas and filling munitions.","जिसे हेग स्थित संगठन ने डमस्कस को सभी रासायनिक हथियार उत्पादन इकाइयों तथा विषाक्त गैसों में रसायन मिलाने तथा युद्ध सामग्री में भरने के लिए इस्तेमाल होने वाली मशीनरी को नष्ट करने अथवा ""अप्रभावी बनाने"" के लिए निर्धारित किया था।","1 मृत-पर आधारित संगठन द्वारा निर्धारित किया गया है... ... दमिश्क को नष्ट करने या ""धोर्जी करने के लिए"" सभी रासायनिक हथियार उत्पादनों और रसायनों को विष गैसों में मिलाने के लिए।","सन 1 मृत-पर आधारित संगठन द्वारा निर्धारित किया गया है जो दमिश्क को नष्ट करने या ""धोर्जी करने के लिए"" सभी रासायनिक हथियार उत्पादनों और रसायनों को विष गैसों में मिलाने के लिए इस्तेमाल किया जा सकता है।",8.276510327801457,10.019562004585861,Noisy Channel
"Unfolding in 1760s France, it tells the grim story of Suzanne, a young aristocrat sent to a convent by her family.","फ्रांस का सन 1760 का समय दर्शाता हुआ यह उपन्यास, सुजान नाम युवा रईस की दुखद कथा बयां करता है जिसे उसके परिवार के सदस्य कॉन्वेन्ट भेज देता है।","सन्‌ 1760 में फ्रांस में हर साल, यह सूसीना की भयानक कहानी बताती है, जो अपने परिवार के एक पादरी को भेजी गयी थी ।","सन्‌ 1760 में फ्रांस में प्रचार करते वक्‍त, यह सूसीना की दुःखद कहानी बताती है ।",3.5125536552755783,1.6660507423083726,Direct
She had sent her best wishes to the newlyweds.,उन्होंने अपनी बधाई नवजोड़े को भेज दी है।,उसने अपनी सबसे अच्छी इच्छा शादी करने के लिए भेजी थी ।,उसने शादी - शुदा ज़िंदगी की सबसे बेहतरीन ख्वाहिश अपने पति को भेजी थी ।,3.3864985683445354,2.627961710408444,Direct
"""It\'s really important for U.S. national security interests for Europeans to stay on board with us with respect to our mutual anti-terrorism endeavors,"" Murphy, a first-term Democrat and chairman of the Senate Foreign Relations Subcommittee on European Affairs, said in an interview from Washington.","डेमोक्रेट पार्टी के पहली बार चुने गए तथा यूरोपीय मामलों की सीनेट विदेशी सम्बन्ध उपसमिति के अध्यक्ष मर्फी ने, वाशिंगटन से साक्षात्कार में कहा, ""यू.एस. राष्ट्रीय सुरक्षा हितों के लिए यह वास्तव में महत्वपूर्ण है कि हमारे आतंकवाद-रोधी प्रयासों के संदर्भ में यूरोपीय देश हमारे साथ हों।""","""यह अमेरिका के लिए वास्तव में महत्वपूर्ण है अमेरिका.S राष्ट्रीय हितों के लिए वास्तव में हमारे आपसी विरोधी विरोध की कोशिशों के साथ बोर्ड पर रहने के लिए..."" Murphy, एक पहली योजना अनुकूल और यूरोपीय कानून के अध्यक्ष ने कहा, वॉशिंगटन से एक इंटरव्यू में.","""यह अमेरिका के लिए वास्तव में महत्वपूर्ण है अमेरिका.S राष्ट्रीय हितों के लिए वास्तव में हमारे आपसी विरोधी विरोध की कोशिशों के साथ बोर्ड पर रहने के लिए...",9.287426878770498,7.0245375831856665,Direct
